seqnames,start,end,width,strand,count,name,exon,intron,utr5,utr5.,utr3,utr3.,intergenic,mirna,annot,target_gene,hfk.hf.padj,hfk.hf.log2FC,seed.8mer,seed.7m8,seed.7A1,seed.6mer,target_Ensembl_ID,target_Uniprot_ID,target_Entrez_ID
chr11,117814077,117814124,48,+,1575,peak4998,Syngr2,RP23-268N22.1,NA,NA,Syngr2,Syngr2,FALSE,NA,utr3,Syngr2,0.7476630547607472,0.32969298909606054,NA,NA,NA,miR-186-5p,ENSMUSG00000048277,O55101,20973
chr11,117814165,117814242,78,+,3790,peak4999,Syngr2,RP23-268N22.1,NA,NA,Syngr2,Syngr2,FALSE,NA,utr3,Syngr2,0.41544789673188165,0.7858232920246278,"miR-181-5p, miR-148-3p/152-3p",NA,miR-16-2-3p,miR-130-3p/301-3p,ENSMUSG00000048277,O55101,20973
chr11,119483835,119483883,49,+,1479,peak5012,Rnf213,Rnf213,NA,NA,NA,NA,FALSE,NA,exon,Rnf213,0.006784458758576583,-2.8718013924103523,miR-25-3p/32-5p/92-3p/363-3p/367-3p,NA,NA,NA,ENSMUSG00000070327,E9Q555,672511
chr11,119486274,119486333,60,+,2722,peak5014,Rnf213,NA,NA,NA,Rnf213,NA,FALSE,NA,utr3,Rnf213,0.12500113897849863,1.9751497672829736,NA,miR-23-3p,NA,NA,ENSMUSG00000070327,E9Q555,672511
chr11,120488366,120488427,62,+,3258,peak5020,Mrpl12,NA,NA,NA,NA,NA,FALSE,NA,exon,Mrpl12,0.25681190369497386,-0.9932139280169894,NA,miR-324-3p,NA,miR-141-5p/6769b-3p,ENSMUSG00000039640,Q9DB15,56282
chr11,120498099,120498153,55,+,3129,peak5022,Slc25a10,NA,NA,NA,NA,NA,FALSE,NA,exon,Slc25a10,0.0020667087244872237,-1.9916778763222855,NA,miR-17-5p/20-5p/93-5p/106-5p,NA,"miR-22-3p, miR-17-5p/20-5p/93-5p/106-5p",ENSMUSG00000025792,Q9QZD8,27376
chr11,120708660,120708711,52,+,4547,peak5031,Aspscr1,Aspscr1,NA,NA,Aspscr1,Aspscr1,FALSE,NA,utr3,Aspscr1,0.4117551140165337,-0.5919548861039634,NA,miR-17-5p/20-5p/93-5p/106-5p,NA,"miR-103-3p/107-3p, miR-7-5p, miR-130-3p/301-3p",ENSMUSG00000025142,Q8VBT9,68938
chr11,120955899,120955944,46,+,1901,peak5034,Slc16a3,Slc16a3,NA,NA,NA,NA,FALSE,NA,exon,Slc16a3,0.04112111079391712,3.226656809301857,let-7-5p/miR-98-5p,NA,NA,miR-196-5p,ENSMUSG00000025161,P57787,80879
chr11,121244604,121244710,107,+,5299,peak5038,Narf,NA,NA,NA,NA,NA,FALSE,NA,exon,Narf,0.11616464544948592,1.4061348834368201,miR-15-5p/16-5p/195-5p/322-5p/497-5p,NA,miR-183-3p,"miR-103-3p/107-3p, miR-196-5p",ENSMUSG00000000056,Q9CYQ7 Q9ESN6,67608
chr11,121253020,121253074,55,+,9701,peak5039,Narf,NA,NA,NA,Narf,NA,FALSE,NA,utr3,Narf,0.07547917146955835,1.4505534600714665,"miR-19-3p, miR-29-3p",NA,NA,miR-181-5p,ENSMUSG00000000056,Q9CYQ7 Q9ESN6,67608
chr11,121716161,121716215,55,+,7556,peak5051,Metrnl,NA,NA,NA,Metrnl,NA,FALSE,NA,utr3,Metrnl,0.028172442334831703,1.4521336239911942,miR-29-3p,"miR-103-3p/107-3p, miR-15-5p/16-5p/195-5p/322-5p/497-5p",NA,miR-484,ENSMUSG00000039208,Q8VE43,210029
chr11,3394534,3394593,60,-,2160,peak5059,NA,Limk2,NA,NA,NA,NA,FALSE,NA,intron,Limk2,0.009576994622310889,4.173372560590438,miR-26-5p,NA,miR-24-3p,NA,ENSMUSG00000020451,O54785,16886
chr11,3647961,3648014,54,-,5854,peak5067,NA,Tug1,NA,NA,NA,NA,FALSE,NA,intron,Tug1,0.0020998637794741376,4.594399201078656,NA,NA,NA,"miR-15-5p/16-5p/195-5p/322-5p/497-5p, miR-23-3p",ENSMUSG00000056579,Q8CI88,544752
chr11,5081872,5081924,53,-,3718,peak5071,NA,Ewsr1,NA,NA,NA,NA,FALSE,NA,intron,Ewsr1,0.019878357918726077,3.662546788171001,NA,NA,NA,NA,ENSMUSG00000009079,Q61545,14030
chr11,5707294,5707341,48,-,2022,peak5072,Mrps24,Mrps24,NA,NA,NA,NA,FALSE,NA,exon,Mrps24,0.11688685330879589,1.8859170376600092,NA,NA,NA,"miR-210-3p, miR-147-3p",ENSMUSG00000020477,Q9CQV5,64660
chr11,6472027,6472073,47,-,4132,peak5078,Purb,NA,NA,NA,Purb,NA,FALSE,NA,utr3,Purb,1.38381220138353e-4,5.670377833809119,NA,miR-200ab-5p,NA,NA,ENSMUSG00000094483,O35295,19291
chr11,6472668,6472737,70,-,3266,peak5079,Purb,NA,NA,NA,Purb,NA,FALSE,NA,utr3,Purb,0.2785107801898584,1.1999268216577839,NA,NA,miR-375-3p,"miR-103-3p/107-3p, miR-141-3p, miR-186-5p",ENSMUSG00000094483,O35295,19291
chr11,8432467,8432528,62,-,16938,peak5087,Tns3,NA,NA,NA,Tns3,NA,FALSE,NA,utr3,Tns3,0.4550290872583244,-0.4638987094930451,NA,NA,miR-22-3p,miR-153-3p,ENSMUSG00000020422,Q5SSZ5,319939
chr11,8432600,8432666,67,-,7215,peak5088,Tns3,NA,NA,NA,Tns3,NA,FALSE,NA,utr3,Tns3,0.009991049066118318,2.6378066155107995,miR-96-5p,NA,miR-182-5p,NA,ENSMUSG00000020422,Q5SSZ5,319939
chr11,8433603,8433745,143,-,5048,peak5091,Tns3,NA,NA,NA,Tns3,NA,FALSE,NA,utr3,Tns3,0.0075612271621246395,4.05753674276568,miR-103-3p/107-3p,NA,miR-183-5p,"miR-27-3p, miR-21ac-5p, miR-10-5p, miR-345-5p",ENSMUSG00000020422,Q5SSZ5,319939
chr11,20064158,20064205,48,-,3379,peak5105,Actr2,NA,NA,NA,Actr2,NA,FALSE,NA,utr3,Actr2,0.00123478321556686,4.983859836106448,miR-15-5p/16-5p/195-5p/322-5p/497-5p,NA,NA,"miR-103-3p/107-3p, miR-139-3p",ENSMUSG00000020152,P61161,66713
chr11,20064492,20064611,120,-,2139,peak5107,Actr2,NA,NA,NA,Actr2,NA,FALSE,NA,utr3,Actr2,0.16128756640907452,1.7688612451208252,NA,miR-30a-3p/30d-3p/30e-3p,miR-192-5p/215-5p,NA,ENSMUSG00000020152,P61161,66713
chr11,20824260,20824320,61,-,3862,peak5115,Lgalsl,NA,NA,NA,Lgalsl,NA,FALSE,NA,utr3,Lgalsl,0.12081797518700313,1.3694341618318444,miR-200-3p/429-3p,NA,NA,NA,ENSMUSG00000042363,Q8VED9,216551
chr11,20825231,20825296,66,-,8849,peak5119,Lgalsl,NA,NA,NA,Lgalsl,NA,FALSE,NA,utr3,Lgalsl,0.0014789118932560332,3.1857122575888748,NA,NA,NA,NA,ENSMUSG00000042363,Q8VED9,216551
chr11,20825353,20825405,53,-,7665,peak5120,Lgalsl,NA,NA,NA,Lgalsl,NA,FALSE,NA,utr3,Lgalsl,0.9724293466421973,0.0326334583545986,miR-141-3p,NA,NA,"miR-33-5p, miR-324-3p",ENSMUSG00000042363,Q8VED9,216551
chr11,20830050,20830107,58,-,8853,peak5123,Lgalsl,NA,NA,NA,NA,NA,FALSE,NA,exon,Lgalsl,0.009950274831532812,3.2010454796419987,NA,NA,NA,NA,ENSMUSG00000042363,Q8VED9,216551
chr11,21322028,21322087,60,-,3515,peak5126,Ugp2,NA,NA,NA,NA,NA,FALSE,NA,exon,Ugp2,0.029423868697161116,2.9987076563750112,NA,NA,NA,miR-375-3p,ENSMUSG00000001891,Q91ZJ5,216558
chr11,21566614,21566662,49,-,2198,peak5134,Mdh1,Mdh1,NA,NA,NA,NA,FALSE,NA,exon,Mdh1,0.05291894432511887,-1.2315541880530254,NA,miR-200-3p/429-3p,miR-16-2-3p,NA,ENSMUSG00000020321,P14152,17449
chr11,22835322,22835401,80,-,4388,peak5136,B3gnt2,RP23-242C19.8,NA,NA,B3gnt2,NA,FALSE,NA,utr3,B3gnt2,0.010053195815382748,3.418411867192533,NA,NA,NA,"miR-27-3p, miR-141-3p",ENSMUSG00000051650,Q9Z222,53625
chr11,22835549,22835610,62,-,9260,peak5138,B3gnt2,RP23-242C19.8,NA,NA,B3gnt2,NA,FALSE,NA,utr3,B3gnt2,0.17645768470441653,-0.7515628199237987,NA,miR-200-3p/429-3p,NA,miR-194-5p,ENSMUSG00000051650,Q9Z222,53625
chr11,22836389,22836443,55,-,2363,peak5144,B3gnt2,RP23-242C19.8,NA,NA,RP23-242C19.7,NA,FALSE,NA,utr3,RP23-242C19.7,0.31195700179140873,0.9885812123408563,miR-26-5p,NA,NA,NA,NA,"NA",NA
chr11,23568037,23568092,56,-,4106,peak5145,NA,RP23-188K3.6,NA,NA,NA,NA,FALSE,NA,intron,RP23-188K3.6,0.013864936506207551,3.820239251386097,NA,miR-200-3p/429-3p,NA,NA,NA,"NA",NA
chr11,30099429,30099535,107,-,2573,peak5148,Sptbn1,NA,NA,NA,Sptbn1,NA,FALSE,NA,utr3,Sptbn1,0.051429603900215996,2.666369444429169,NA,miR-29-3p,NA,let-7-5p/miR-98-5p,ENSMUSG00000020315,Q62261,20742
chr11,30114778,30114853,76,-,1602,peak5157,Sptbn1,NA,NA,NA,NA,NA,FALSE,NA,exon,Sptbn1,2.1331453612423258e-4,-3.0273202814641667,NA,NA,NA,"miR-10-5p, miR-484",ENSMUSG00000020315,Q62261,20742
chr11,30139379,30139438,60,-,5548,peak5166,Sptbn1,NA,NA,NA,NA,NA,FALSE,NA,exon,Sptbn1,0.01005352056163548,2.6739735230452104,NA,NA,NA,miR-345-5p,ENSMUSG00000020315,Q62261,20742
chr11,30140542,30140595,54,-,80852,peak5167,Sptbn1,NA,NA,NA,NA,NA,FALSE,NA,exon,Sptbn1,0.05408327264085689,1.081382782207313,miR-194-5p,NA,NA,NA,ENSMUSG00000020315,Q62261,20742
chr11,30142182,30142235,54,-,4094,peak5168,Sptbn1,NA,NA,NA,NA,NA,FALSE,NA,exon,Sptbn1,0.023315069932280646,2.1257638149124003,NA,miR-328-3p,NA,NA,ENSMUSG00000020315,Q62261,20742
chr11,30143023,30143084,62,-,18173,peak5170,Sptbn1,NA,NA,NA,NA,NA,FALSE,NA,exon,Sptbn1,0.4634440573282756,0.4545068608288243,miR-22-3p,NA,NA,NA,ENSMUSG00000020315,Q62261,20742
chr11,30193209,30193258,50,-,2243,peak5175,NA,Sptbn1,NA,NA,NA,NA,FALSE,NA,intron,Sptbn1,0.03940247364270686,3.2856072953684086,miR-23-3p,miR-200-3p/429-3p,NA,miR-26-5p,ENSMUSG00000020315,Q62261,20742
chr11,31359549,31359607,59,-,5752,peak5178,Stc2,NA,NA,NA,Stc2,NA,FALSE,NA,utr3,Stc2,0.04798484438512202,2.0251894015741616,miR-24-3p,miR-425-5p/489-3p,miR-205-5p,NA,ENSMUSG00000020303,O88452,20856
chr11,35839118,35839182,65,-,3303,peak5187,Wwc1,NA,NA,NA,Wwc1,NA,FALSE,NA,utr3,Wwc1,0.06562985674509755,2.599110340831379,NA,NA,miR-27-3p,"miR-205-5p, miR-200-3p/429-3p",ENSMUSG00000018849,Q5SXA9,211652
chr11,35861838,35861891,54,-,1511,peak5188,Wwc1,NA,NA,NA,NA,NA,FALSE,NA,exon,Wwc1,0.16653935046424323,-1.1245946016409634,miR-26-5p,NA,NA,miR-324-3p,ENSMUSG00000018849,Q5SXA9,211652
chr11,48866516,48866564,49,-,1870,peak5197,Irgm1,Irgm1,NA,NA,NA,NA,FALSE,NA,exon,Irgm1,0.020034141090798024,-1.5503146142592272,miR-224-5p,NA,NA,NA,ENSMUSG00000046879,Q60766,15944
chr11,49682136,49682189,54,-,3541,peak5204,Cnot6,NA,NA,NA,NA,NA,FALSE,NA,exon,Cnot6,0.25732489052477736,1.3291516199933298,miR-200-3p/429-3p,miR-30a-3p/30d-3p/30e-3p,NA,NA,ENSMUSG00000020362 ENSMUSG00000034724,Q8K3P5 Q8VEG6,104625 231464
chr11,50200182,50200241,60,-,2130,peak5206,Sqstm1,NA,NA,NA,Sqstm1,Sqstm1,FALSE,NA,utr3,Sqstm1,0.16418032663433116,1.7928694214853609,NA,miR-221-3p/222-3p,NA,"miR-224-5p, miR-671-5p",ENSMUSG00000015837,Q64337,18412
chr11,50295055,50295113,59,-,3685,peak5217,Canx,NA,NA,NA,Canx,NA,FALSE,NA,utr3,Canx,0.028886838719448117,2.9377774455240884,NA,NA,NA,miR-200-3p/429-3p,ENSMUSG00000020368,P35564,12330
chr11,50295284,50295337,54,-,18597,peak5218,Canx,NA,NA,NA,Canx,NA,FALSE,NA,utr3,Canx,0.24052284407949698,-0.5697070967182183,NA,"miR-21ac-5p, miR-153-3p","miR-374b-5p, miR-30a-3p/30d-3p/30e-3p","miR-22-3p, miR-191-5p, miR-3081-3p",ENSMUSG00000020368,P35564,12330
chr11,50295441,50295495,55,-,1907,peak5219,Canx,NA,NA,NA,Canx,NA,FALSE,NA,utr3,Canx,0.04889559394971579,2.8347968522994678,NA,NA,NA,NA,ENSMUSG00000020368,P35564,12330
chr11,50296224,50296277,54,-,12885,peak5222,Canx,NA,NA,NA,Canx,NA,FALSE,NA,utr3,Canx,0.06562804720068896,1.0063860182532585,NA,NA,NA,"miR-27-3p, miR-26-5p, miR-185-5p",ENSMUSG00000020368,P35564,12330
chr11,51626796,51626850,55,-,5000,peak5231,Rmnd5b,NA,NA,NA,NA,NA,FALSE,NA,exon,Rmnd5b,0.29991583840629166,-0.6284133716381475,miR-17-5p/20-5p/93-5p/106-5p,NA,NA,miR-130-3p/301-3p,ENSMUSG00000001054,Q91YQ7,66089
chr11,51723651,51723700,50,-,4518,peak5238,Sec24a,Sec24a,NA,NA,NA,NA,FALSE,NA,exon,Sec24a,0.006751769567134732,4.107578658894775,NA,NA,NA,let-7-5p/miR-98-5p,ENSMUSG00000036391,Q3U2P1,77371
chr11,51726494,51726557,64,-,2825,peak5239,Sec24a,NA,NA,NA,NA,NA,FALSE,NA,exon,Sec24a,0.07949930466496369,2.184241846122205,miR-378-3p,NA,NA,NA,ENSMUSG00000036391,Q3U2P1,77371
chr11,51985823,51985872,50,-,3111,peak5241,Ube2b,Gm26551,NA,NA,Ube2b,Ube2b,FALSE,NA,utr3,Ube2b,0.0014945271426418526,4.91789745293211,miR-200-3p/429-3p,NA,NA,NA,ENSMUSG00000020390,P63147,22210
chr11,51992436,51992486,51,-,2064,peak5242,NA,Ube2b,NA,NA,NA,NA,FALSE,NA,intron,Ube2b,0.06212131364036718,2.3116599646830354,"miR-26-5p, let-7-5p/miR-98-5p","miR-378-3p, miR-196-5p",NA,miR-22-3p,ENSMUSG00000020390,P63147,22210
chr11,54948520,54948575,56,-,2330,peak5254,NA,Tnip1,NA,NA,NA,NA,FALSE,NA,intron,Tnip1,0.02776285338158305,3.3985065705416884,NA,NA,"miR-205-5p, miR-26-5p","miR-192-5p/215-5p, miR-425-5p/489-3p",ENSMUSG00000020400,Q9WUU8,57783
chr11,59963422,59963488,67,-,4391,peak5276,Rasd1,NA,NA,NA,Rasd1,NA,FALSE,NA,utr3,Rasd1,0.8111833223333172,0.18362842197650778,NA,NA,NA,"miR-27-3p, miR-183-5p",ENSMUSG00000049892,O35626,19416
chr11,60719037,60719087,51,-,3379,peak5281,Flii,NA,NA,NA,NA,NA,FALSE,NA,exon,Flii,0.009815392394987887,-1.7539149263904825,miR-141-5p/6769b-3p,NA,NA,"miR-205-5p, miR-16-1-3p",ENSMUSG00000002812,Q9JJ28,14248
chr11,60725162,60725223,62,-,4462,peak5284,Flii,NA,NA,NA,NA,NA,FALSE,NA,exon,Flii,0.21381783029542137,1.2590570172031466,NA,NA,NA,"miR-210-3p, miR-196-5p, miR-147-3p",ENSMUSG00000002812,Q9JJ28,14248
chr11,61264273,61264323,51,-,1312,peak5289,Aldh3a2,NA,NA,NA,NA,NA,FALSE,NA,exon,Aldh3a2,0.5865048928428948,0.5491368313812577,NA,NA,NA,NA,ENSMUSG00000010025,P47740,11671
chr11,63964238,63964296,59,-,15759,peak5299,Cox10,NA,NA,NA,NA,NA,FALSE,NA,exon,Cox10,0.23337330687934,-0.6716532452395937,NA,"let-7-5p/miR-98-5p, miR-671-5p",NA,miR-196-5p,ENSMUSG00000042148,Q8CFY5,70383
chr11,65690460,65690515,56,-,2307,peak5302,Map2k4,NA,NA,NA,Map2k4,Map2k4,FALSE,NA,utr3,Map2k4,0.07678649380566584,2.5256133686577815,miR-141-3p,NA,NA,NA,ENSMUSG00000033352,P47809,26398
chr11,68821999,68822051,53,-,2516,peak5304,Ndel1,NA,NA,NA,Ndel1,NA,FALSE,NA,utr3,Ndel1,0.009084246146565457,4.309397272292786,NA,NA,NA,miR-224-5p,ENSMUSG00000018736,Q9ERR1,83431
chr11,69398917,69398971,55,-,2545,peak5307,Kdm6b,NA,NA,Tmem88,Kdm6b,NA,FALSE,NA,utr3,Kdm6b,0.16430180297626615,-1.0580273588614801,NA,miR-139-5p,NA,NA,ENSMUSG00000018476,Q5NCY0,216850
chr11,69399012,69399100,89,-,5324,peak5308,Kdm6b,NA,NA,Tmem88,Kdm6b,NA,FALSE,NA,utr3,Kdm6b,0.13474541234349732,1.2732123699719207,NA,miR-29-3p,NA,miR-139-3p,ENSMUSG00000018476,Q5NCY0,216850
chr11,69402079,69402133,55,-,3329,peak5310,Kdm6b,NA,NA,NA,NA,NA,FALSE,NA,exon,Kdm6b,0.034661169265630114,2.288309444905839,NA,miR-210-3p,NA,miR-147-3p,ENSMUSG00000018476,Q5NCY0,216850
chr11,69404636,69404682,47,-,1591,peak5311,Kdm6b,NA,NA,NA,NA,NA,FALSE,NA,exon,Kdm6b,0.007953851874678411,4.291643134154183,NA,miR-183-5p,NA,NA,ENSMUSG00000018476,Q5NCY0,216850
chr11,69404767,69404830,64,-,5532,peak5312,Kdm6b,NA,NA,NA,NA,NA,FALSE,NA,exon,Kdm6b,0.08940041036398517,-1.038029029177125,let-7-5p/miR-98-5p,miR-146ab-5p,NA,miR-196-5p,ENSMUSG00000018476,Q5NCY0,216850
chr11,69404892,69404953,62,-,2403,peak5313,Kdm6b,NA,NA,NA,NA,NA,FALSE,NA,exon,Kdm6b,0.6856275120952413,-0.33374697486564464,NA,miR-200-3p/429-3p,miR-29-3p,NA,ENSMUSG00000018476,Q5NCY0,216850
chr11,69656752,69656811,60,-,3588,peak5315,Mpdu1,NA,NA,NA,Mpdu1,Mpdu1,FALSE,NA,utr3,Mpdu1,0.9912210506135564,0.014044405339986944,NA,miR-15-5p/16-5p/195-5p/322-5p/497-5p,NA,"miR-205-5p, miR-139-5p, miR-103-3p/107-3p",ENSMUSG00000018761,Q9R0Q9,24070
chr11,69656859,69656948,90,-,3299,peak5316,Mpdu1,NA,NA,NA,Mpdu1,Mpdu1,FALSE,NA,utr3,Mpdu1,0.5447458477467817,0.6379145503971029,NA,NA,miR-16-2-3p,"miR-103-3p/107-3p, miR-15-5p/16-5p/195-5p/322-5p/497-5p, miR-671-5p",ENSMUSG00000018761,Q9R0Q9,24070
chr11,69657000,69657069,70,-,9775,peak5317,Mpdu1,NA,NA,NA,Mpdu1,Mpdu1,FALSE,NA,utr3,Mpdu1,0.9833602631036638,0.019782503881278512,NA,NA,NA,miR-22-3p,ENSMUSG00000018761,Q9R0Q9,24070
chr11,69657274,69657331,58,-,2420,peak5319,Mpdu1,Mpdu1,NA,NA,Mpdu1,Mpdu1,FALSE,NA,utr3,Mpdu1,0.05999019927042213,2.6185800940377284,NA,NA,NA,miR-25-3p/32-5p/92-3p/363-3p/367-3p,ENSMUSG00000018761,Q9R0Q9,24070
chr11,69669710,69669772,63,-,2349,peak5323,Gm22988,Eif4a1,NA,NA,NA,Eif4a1,FALSE,NA,utr3*,Eif4a1,2.1655022840511172e-5,-3.666110749664589,NA,miR-18-5p,NA,NA,ENSMUSG00000059796,P60843,13681
chr11,69740261,69740311,51,-,12009,peak5325,Polr2a,NA,NA,NA,NA,NA,FALSE,NA,exon,Polr2a,0.10687049789845965,0.929263006739605,miR-192-5p/215-5p,miR-7-5p,NA,miR-30a-3p/30d-3p/30e-3p,ENSMUSG00000005198,P08775,20020
chr11,69919181,69919242,62,-,7100,peak5328,Eif5a,NA,NA,Eif5a,NA,NA,FALSE,NA,utr5*,Eif5a,0.19494222369924638,-0.7368581536482619,NA,"miR-29-3p, miR-200ab-5p",NA,NA,ENSMUSG00000078812,P63242,276770
chr11,70651976,70652033,58,-,23416,peak5336,Pfn1,NA,NA,NA,Pfn1,Pfn1,FALSE,NA,utr3,Pfn1,0.008823184904725133,2.4738718956554044,NA,NA,"miR-182-5p, miR-96-5p",miR-103-3p/107-3p,ENSMUSG00000018293,P62962,18643
chr11,70652860,70652912,53,-,5935,peak5340,Pfn1,NA,NA,NA,Pfn1,NA,FALSE,NA,utr3,Pfn1,0.00490443760734774,-1.613170545110683,NA,NA,miR-103-3p/107-3p,"miR-27-3p, miR-328-3p",ENSMUSG00000018293,P62962,18643
chr11,70965749,70965813,65,-,2758,peak5347,Nup88,NA,NA,NA,Nup88,NA,FALSE,NA,utr3,Nup88,0.0022655345999566586,4.878403910914955,miR-103-3p/107-3p,let-7-5p/miR-98-5p,NA,miR-196-5p,ENSMUSG00000040667,Q8CEC0,19069
chr11,70977919,70977969,51,-,5559,peak5348,C1qbp,NA,NA,NA,C1qbp,NA,FALSE,NA,utr3,C1qbp,0.0023534702135578544,3.477675070732647,miR-194-5p,NA,NA,NA,ENSMUSG00000018446,O35658,12261
chr11,70987053,70987105,53,-,1703,peak5349,Dhx33,NA,NA,NA,Dhx33,Dhx33,FALSE,NA,utr3,Dhx33,0.6971399643794098,0.3787196928726885,miR-7-5p,NA,NA,NA,ENSMUSG00000040620,Q80VY9,216877
chr11,71008063,71008122,60,-,2902,peak5350,Derl2,Derl2,NA,NA,Derl2,Derl2,FALSE,NA,utr3,Derl2,0.036479019239714104,2.855449296747453,NA,NA,NA,NA,ENSMUSG00000018442,Q8BNI4,116891
chr11,73183912,73183978,67,-,7951,peak5351,Ctns,NA,NA,NA,Ctns,NA,FALSE,NA,utr3,Ctns,0.7522400833658643,0.20303455845153387,NA,NA,NA,"miR-21ac-5p, miR-484",ENSMUSG00000005949,P57757,83429
chr11,74713614,74713662,49,-,1653,peak5369,NA,Pafah1b1,NA,NA,NA,NA,FALSE,NA,intron,Pafah1b1,0.0085740046006315,4.237403369549958,miR-24-3p,miR-7-5p,NA,NA,ENSMUSG00000020745,P63005,18472
chr11,76422149,76422177,29,-,1207,peak5377,Abr,Abr,NA,NA,NA,NA,FALSE,NA,exon,Abr,0.006874628200568167,-1.8575108085342784,NA,NA,miR-26-5p,NA,ENSMUSG00000017631,Q5SSL4,109934
chr11,76422220,76422266,47,-,10011,peak5378,Abr,Abr,NA,NA,NA,NA,FALSE,NA,exon,Abr,0.9722399401881189,-0.023996256301776948,NA,NA,NA,"miR-182-5p, miR-103-3p/107-3p, miR-96-5p",ENSMUSG00000017631,Q5SSL4,109934
chr11,76447488,76447537,50,-,1988,peak5380,NA,Abr,NA,NA,NA,NA,FALSE,NA,intron,Abr,0.05547295861631193,2.4229983612855746,NA,let-7-5p/miR-98-5p,miR-130-3p/301-3p,"miR-185-5p, miR-194-2-3p/6926-5p/7055-5p, miR-196-5p",ENSMUSG00000017631,Q5SSL4,109934
chr11,76779770,76779825,56,-,13228,peak5391,Cpd,NA,NA,NA,Cpd,NA,FALSE,NA,utr3,Cpd,0.021312395568280195,1.7337541129877405,miR-200-3p/429-3p,NA,NA,NA,ENSMUSG00000020841,O89001,12874
chr11,76781107,76781166,60,-,1754,peak5398,Cpd,NA,NA,NA,Cpd,NA,FALSE,NA,utr3,Cpd,0.03987635058943028,3.238005625634533,NA,NA,NA,"miR-27-3p, miR-425-5p/489-3p, miR-16-1-3p",ENSMUSG00000020841,O89001,12874
chr11,76781346,76781395,50,-,1630,peak5401,Cpd,NA,NA,NA,Cpd,NA,FALSE,NA,utr3,Cpd,0.03499076592248815,3.3342988823365656,NA,"miR-15-5p/16-5p/195-5p/322-5p/497-5p, miR-15-5p/16-5p/195-5p/322-5p/497-5p",miR-27-3p,"miR-103-3p/107-3p, miR-103-3p/107-3p, miR-29-3p",ENSMUSG00000020841,O89001,12874
chr11,78207347,78207404,58,-,1883,peak5428,Supt6,NA,NA,NA,Supt6,NA,FALSE,NA,utr3,Supt6,0.6102977188352666,-0.44295978916579404,NA,NA,NA,miR-328-3p,ENSMUSG00000002052,Q62383,20926
chr11,78397482,78397533,52,-,5068,peak5434,Slc13a2,NA,NA,NA,Slc13a2,NA,FALSE,NA,utr3,Slc13a2,0.7205928918178983,0.24818822817845504,NA,miR-141-5p/6769b-3p,NA,"miR-185-5p, miR-139-3p",ENSMUSG00000001095,Q9ES88,20500
chr11,78397569,78397614,46,-,4990,peak5435,Slc13a2,NA,NA,NA,Slc13a2,NA,FALSE,NA,utr3,Slc13a2,0.20032876331186975,-0.8384230350567522,NA,NA,NA,NA,ENSMUSG00000001095,Q9ES88,20500
chr11,78403082,78403148,67,-,6921,peak5439,Slc13a2,NA,NA,NA,NA,NA,FALSE,NA,exon,Slc13a2,0.022206197101084093,1.7870036406283798,miR-15-5p/16-5p/195-5p/322-5p/497-5p,NA,NA,"miR-103-3p/107-3p, miR-7-5p",ENSMUSG00000001095,Q9ES88,20500
chr11,78422061,78422109,49,-,6023,peak5442,Slc13a2,Slc13a2,NA,NA,NA,NA,FALSE,NA,exon,Slc13a2,0.0031990096397271008,2.5838529464806235,NA,NA,NA,NA,ENSMUSG00000001095,Q9ES88,20500
chr11,78530238,78530288,51,-,2040,peak5445,Tnfaip1,NA,Tnfaip1,NA,NA,NA,FALSE,NA,utr5,Tnfaip1,0.040533590771155786,3.1922922474940005,NA,let-7-5p/miR-98-5p,NA,"miR-196-5p, miR-196-5p",ENSMUSG00000017615,O70479,21927
chr11,78542182,78542244,63,-,3348,peak5447,Tmem97,NA,NA,NA,Tmem97,NA,FALSE,NA,utr3,Tmem97,0.006735934386766084,4.4618816966906465,NA,"miR-200-3p/429-3p, miR-17-5p/20-5p/93-5p/106-5p",NA,NA,ENSMUSG00000037278,Q8VD00,69071
chr11,79074051,79074101,51,-,4766,peak5457,NA,Ksr1,NA,NA,NA,NA,FALSE,NA,intron,Ksr1,0.0022781106046923343,4.517211001722742,NA,NA,NA,miR-27-3p,ENSMUSG00000018334,Q61097,16706
chr11,79239997,79240063,67,-,2875,peak5458,Wsb1,NA,NA,NA,Wsb1,Wsb1,FALSE,NA,utr3,Wsb1,0.03760757825335982,3.3169786697275083,miR-15-5p/16-5p/195-5p/322-5p/497-5p,NA,NA,"miR-103-3p/107-3p, miR-15-5p/16-5p/195-5p/322-5p/497-5p",ENSMUSG00000017677,O54927,78889
chr11,80769324,80769371,48,-,3659,peak5477,NA,Myo1d,NA,NA,NA,NA,FALSE,NA,intron,Myo1d,0.002825104332772645,4.44745283366934,miR-7-5p,miR-200-3p/429-3p,NA,"miR-21ac-5p, miR-18-5p",ENSMUSG00000035441,Q5SYD0,338367
chr11,82804502,82804560,59,-,3173,peak5478,Rffl,NA,NA,NA,Rffl,Rffl,FALSE,NA,utr3,Rffl,0.4798269062905311,0.6228642748221357,"miR-27-3p, miR-194-2-3p/6926-5p/7055-5p",miR-15-5p/16-5p/195-5p/322-5p/497-5p,NA,"miR-103-3p/107-3p, miR-194-2-3p/6926-5p/7055-5p",ENSMUSG00000020696,Q6ZQM0,67338
